ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,WardLat,WardLon,Feature,FeatureValue,SHAPValue
0,LinearRegression,Ward,val,163636.36363636365,142628.3287382584,21008.034898105252,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,TimeTrend,58.0,5051.401873457531
0,LinearRegression,Ward,val,163636.36363636365,142628.3287382584,21008.034898105252,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,Ward_encoded,1.0,389.4621152054069
0,LinearRegression,Ward,val,163636.36363636365,142628.3287382584,21008.034898105252,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,Q_2,1.0,-131.00428956030055
0,LinearRegression,Ward,val,163636.36363636365,142628.3287382584,21008.034898105252,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,Q_3,0.0,-251.79514203359076
0,LinearRegression,Ward,val,163636.36363636365,142628.3287382584,21008.034898105252,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,Q_4,0.0,282.1352534309617
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,MedianPriceSqM_lag1,683333.3333333334,27477.531934311268
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,MedianPriceSqM_lag4,700000.0,-18940.98722037469
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,MedianPriceSqM_growth_qoq,3.814884302689192,6121.929900465282
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,MedianPriceSqM_growth_yoy,1.3431013431013605,-0.29060344211393385
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,MedianPriceSqM_ma4q,699320.1243201244,122444.36942456139
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,MedianPriceSqM_std4q,11328.167705864575,-327.2091903028486
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,TransactionCount,226.0,9.498062555383513
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,AvgBuildingAge,16.15340909090909,-303.5476399132058
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,AvgArea,74.26991150442478,-880.8522322101526
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,ActiveMeshes,14.0,120.5086290590225
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,TimeTrend,62.0,5827.943283673874
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,Ward_encoded,10.0,108.14919089974865
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,Q_2,0.0,43.66809652010852
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,Q_3,0.0,-251.79514203362487
1,LinearRegression,Ward,val,709401.7094017095,711825.4039630664,-2423.6945613569114,2021-Q1,Kita Ward,35.760269119564896,139.72872376441956,Q_4,0.0,282.13525343100264
