ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,WardLat,WardLon,Feature,FeatureValue,SHAPValue
79,LightGBM,Ward,val,1127272.7272727273,1114947.3020806566,12325.42519207066,2020-Q3,Chuo Ward,35.67459836236735,139.77817833423615,AvgBuildingAge,15.5662100456621,56.01296183230506
79,LightGBM,Ward,val,1127272.7272727273,1114947.3020806566,12325.42519207066,2020-Q3,Chuo Ward,35.67459836236735,139.77817833423615,AvgArea,53.580786026200876,-4618.5137189091
79,LightGBM,Ward,val,1127272.7272727273,1114947.3020806566,12325.42519207066,2020-Q3,Chuo Ward,35.67459836236735,139.77817833423615,ActiveMeshes,8.0,-521.673633504527
79,LightGBM,Ward,val,1127272.7272727273,1114947.3020806566,12325.42519207066,2020-Q3,Chuo Ward,35.67459836236735,139.77817833423615,TimeTrend,60.0,2993.046232671016
79,LightGBM,Ward,val,1127272.7272727273,1114947.3020806566,12325.42519207066,2020-Q3,Chuo Ward,35.67459836236735,139.77817833423615,Ward_encoded,5.0,702.4427156204775
79,LightGBM,Ward,val,1127272.7272727273,1114947.3020806566,12325.42519207066,2020-Q3,Chuo Ward,35.67459836236735,139.77817833423615,Q_2,0.0,89.72048388789244
79,LightGBM,Ward,val,1127272.7272727273,1114947.3020806566,12325.42519207066,2020-Q3,Chuo Ward,35.67459836236735,139.77817833423615,Q_3,1.0,91.25072437556204
79,LightGBM,Ward,val,1127272.7272727273,1114947.3020806566,12325.42519207066,2020-Q3,Chuo Ward,35.67459836236735,139.77817833423615,Q_4,0.0,47.55260176292316
80,LightGBM,Ward,val,727272.7272727273,736319.088611082,-9046.361338354764,2020-Q3,Suginami Ward,35.6994510567818,139.62471842765808,MedianPriceSqM_lag1,735087.7192982456,43682.311938480314
80,LightGBM,Ward,val,727272.7272727273,736319.088611082,-9046.361338354764,2020-Q3,Suginami Ward,35.6994510567818,139.62471842765808,MedianPriceSqM_lag4,681176.4705882353,8805.778698400612
80,LightGBM,Ward,val,727272.7272727273,736319.088611082,-9046.361338354764,2020-Q3,Suginami Ward,35.6994510567818,139.62471842765808,MedianPriceSqM_growth_qoq,-1.0631373399869748,-3545.2526893013837
