ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,Mesh250m,WardLat,WardLon,MeshLat,MeshLon,Feature,FeatureValue,SHAPValue
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,mesh_avg_age,19.166666666666668,-415.44735954519274
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,mesh_avg_area,49.61538461538461,-1702.5121220188958
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,TimeTrend,49.0,1747.1152402944535
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,Ward_encoded,21.0,-1840.031297755926
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,WardHedonicIndex,141.7870454715009,48.1835778749919
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,WardHedonicIndex_missing,1.0,0.0
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,MeshHedonicIndex,185.9742110157127,1447.9889560262163
2,LinearRegression,Mesh,val,1240000.0,1218744.6228619253,21255.37713807472,2021-Q2,Shinjuku Ward,53394536,35.70051400775988,139.70743775367737,35.697926307277214,139.70743775367737,MeshHedonicIndex_missing,1.0,0.0
3,LinearRegression,Mesh,val,673333.3333333333,607840.518464346,65492.814868987305,2020-Q2,Ota Ward,53392595,35.57257078830743,139.7084891796112,35.5796215818403,139.69149470329285,mesh_median_ppsqm_lag1,675000.0,-6442.667545685908
3,LinearRegression,Mesh,val,673333.3333333333,607840.518464346,65492.814868987305,2020-Q2,Ota Ward,53392595,35.57257078830743,139.7084891796112,35.5796215818403,139.69149470329285,mesh_median_ppsqm_lag4,611111.1111111111,395.40040279165623
3,LinearRegression,Mesh,val,673333.3333333333,607840.518464346,65492.814868987305,2020-Q2,Ota Ward,53392595,35.57257078830743,139.7084891796112,35.5796215818403,139.69149470329285,mesh_median_ppsqm_growth_qoq,-0.24691358024692134,-7687.88560928181
3,LinearRegression,Mesh,val,673333.3333333333,607840.518464346,65492.814868987305,2020-Q2,Ota Ward,53392595,35.57257078830743,139.7084891796112,35.5796215818403,139.69149470329285,mesh_median_ppsqm_growth_yoy,10.181818181818159,10991.34076783841
3,LinearRegression,Mesh,val,673333.3333333333,607840.518464346,65492.814868987305,2020-Q2,Ota Ward,53392595,35.57257078830743,139.7084891796112,35.5796215818403,139.69149470329285,mesh_median_ppsqm_ma4q,617320.0738332317,-6687.852361092249
