Level,Model,Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
Ward,lightgbm,Ward_encoded,342.2841647489805,218.8018315824332,314.4069291394187,0.0009001474523982
Ward,lightgbm,ActiveMeshes,256.3894303874845,193.35283956968863,240.49256700299424,0.0006742593328977
Ward,lightgbm,Q_4,176.82230114844018,137.4527782181573,153.6230025315508,0.000465011707517
Ward,lightgbm,Q_2,80.31287088233154,50.25575092741448,100.24721587654342,0.0002112087953952
Ward,lightgbm,Q_3,73.79269353388045,51.8044948157745,77.90899238862023,0.000194061870022
Ward,linearregression,MedianPriceSqM_ma4q,333146.10354162427,342538.98881909257,173993.3188792262,0.6712225328797065
Ward,linearregression,MedianPriceSqM_lag1,87919.97044092053,90789.0463533294,45503.66158963688,0.1771410940206006
Ward,linearregression,MedianPriceSqM_lag4,46315.78024093341,49478.679612094646,24280.42354931612,0.0933170011449193
Ward,linearregression,MedianPriceSqM_growth_qoq,13392.95052968242,8701.298650806895,14561.032078579565,0.0269841072181198
Ward,linearregression,TimeTrend,5718.742143126967,5827.943283673835,465.362078610135,0.0115221176096271
Ward,linearregression,AvgBuildingAge,3227.06456814826,3310.266154649721,1902.1652625243808,0.0065018874006677
Ward,linearregression,TransactionCount,2608.3766488380084,1842.0484955860425,2611.2777640530685,0.0052553554201139
Ward,linearregression,ActiveMeshes,1530.4595890501853,1216.0416205051615,1176.893394246266,0.0030835688933817
Ward,linearregression,AvgArea,1148.266852532762,932.3633835746778,830.4960198789687,0.0023135272392058
Ward,linearregression,Q_4,447.7363804447792,282.13525343097035,286.82956577860944,0.0009020989414243
Ward,linearregression,Q_3,326.8673989220745,251.79514203364036,162.99992743779418,0.0006585722032701
Ward,linearregression,MedianPriceSqM_std4q,269.0855791400133,230.18193085243,216.00271340662923,0.0005421534337987
Ward,linearregression,Ward_encoded,205.45220729631563,201.92016566830355,129.47818340309828,0.0004139449613881
Ward,linearregression,Q_2,68.77725201916357,43.6680965201158,39.52807055581867,0.0001385723585359
Ward,linearregression,MedianPriceSqM_growth_yoy,1.7204072172446871,1.1665430190469124,1.902721582451539,3.466275239803984e-06
Ward,randomforest,MedianPriceSqM_ma4q,329470.3980705694,340367.0313979573,176206.90573369572,0.8688235850922759
Ward,randomforest,MedianPriceSqM_lag1,18416.62623239569,15294.551979737387,8683.417288395885,0.0485652104778993
Ward,randomforest,MedianPriceSqM_lag4,14032.488861720174,9713.74071326335,7667.510791920924,0.0370041052307096
Ward,randomforest,MedianPriceSqM_growth_qoq,9231.525924454229,9039.574209703567,6214.490087806624,0.0243438181291136
Ward,randomforest,MedianPriceSqM_growth_yoy,5105.832346557256,4561.340441649524,4026.06427853351,0.0134642371217392
Ward,randomforest,MedianPriceSqM_std4q,800.3195775697185,520.6419857700124,892.6291066942697,0.0021104673702877
Ward,randomforest,TimeTrend,448.5997683076609,273.14103320155994,462.65986142478783,0.0011829714027575
Ward,randomforest,AvgBuildingAge,414.7322426083397,328.43034471519263,420.4788086386618,0.0010936616946058
Ward,randomforest,AvgArea,392.3406182951745,226.01076075733263,470.7052069923642,0.0010346142917869
Ward,randomforest,TransactionCount,251.30405402351423,206.085869233362,211.9247816645561,0.0006626965288643
Ward,randomforest,ActiveMeshes,251.28493283494615,134.456949571603,299.9737097294884,0.0006626461057013
Ward,randomforest,Q_2,125.58903414485226,60.84312639235996,232.79426409700773,0.0003311821503024
Ward,randomforest,Ward_encoded,115.07727641791472,49.74868179917766,220.0166652543052,0.0003034623214879
Ward,randomforest,Q_4,114.6350176004002,52.99648731118308,236.1561163240652,0.0003022960713677
Ward,randomforest,Q_3,43.62710189274798,26.2919002611305,48.97773906474605,0.0001150460111002
Ward,torchlstm,MedianPriceSqM_ma4q,0.2042105620086658,0.139526640297845,0.1575092221873031,0.4750003816605137
Ward,torchlstm,MedianPriceSqM,0.1966342213453117,0.1361533614981454,0.1492245673594797,0.4573775678780877
Ward,torchlstm,ActiveMeshes,0.0109550987237412,0.0113397161694592,0.0067511902726988,0.0254819144696583
Ward,torchlstm,TransactionCount,0.0084194843182295,0.0078099306465446,0.0055247578060436,0.0195839932332884
Ward,torchlstm,MedianPriceSqM_lag1,0.0071240797917198,0.0047336345305666,0.0050996471054078,0.0165708403461681
Ward,torchlstm,AvgBuildingAge,0.001986852763293,0.0017333472834479,0.0014599539921097,0.00462148388205
Ward,torchlstm,MedianPriceSqM_growth_qoq,0.0005863282626493,0.0003795065872509,0.0006213534858343,0.0013638185302332
